Season,Time_day,Price,Heat_demand
0,2,41.01,71.12
0,2,40.0,69.85
0,2,39.94,70.74
0,2,39.96,71.81
0,2,39.96,74.03
0,2,52.44,74.8
0,3,41.0,74.59
0,3,38.95,73.24
0,3,36.51,70.37
0,3,34.6,64.49
0,3,31.09,55.2
0,3,29.46,47.73
0,0,25.88,47.48
0,0,25.78,47.75
0,0,25.5,48.51
0,0,25.34,50.54
0,0,25.24,54.35
0,0,21.6,71.29
0,1,20.83,88.98
0,1,29.39,82.56
0,1,32.32,80.65
0,2,39.64,77.84
0,2,47.01,73.98
0,2,51.05,72.5
0,2,52.58,70.12
0,2,48.61,69.0
0,2,35.76,68.04
0,2,36.17,69.35
0,2,39.94,72.24
0,2,47.04,74.32
0,3,59.94,73.41
0,3,42.0,73.04
0,3,35.42,71.35
0,3,35.0,66.33
0,3,34.96,57.97
0,3,32.91,49.66
0,0,26.95,42.48
0,0,24.22,43.44
0,0,27.08,43.72
0,0,23.44,46.29
0,0,23.56,52.16
0,0,23.91,69.46
0,1,23.9,76.28
0,1,24.32,72.4
0,1,25.08,72.38
0,2,25.96,69.91
0,2,28.83,67.33
0,2,32.43,66.11
0,2,31.8,63.97
0,2,31.0,63.27
0,2,31.0,63.74
0,2,31.0,65.06
0,2,30.0,67.45
0,2,45.0,69.34
0,3,50.0,68.95
0,3,42.0,67.85
0,3,36.08,65.9
0,3,34.06,60.76
0,3,33.0,51.04
0,3,32.19,43.64
0,0,27.59,33.33
0,0,26.81,34.28
0,0,25.75,35.16
0,0,25.77,38.03
0,0,19.91,42.95
0,0,19.84,56.33
0,1,33.98,66.61
0,1,45.51,65.11
0,1,45.54,64.7
0,2,46.2,62.43
0,2,45.0,59.61
0,2,45.38,56.93
0,2,42.49,55.2
0,2,41.53,55.07
0,2,39.0,55.25
0,2,39.0,55.96
0,2,39.94,57.87
0,2,48.0,59.54
0,3,47.89,59.67
0,3,47.44,58.62
0,3,41.89,55.89
0,3,37.88,51.2
0,3,37.44,41.45
0,3,35.0,34.89
0,0,33.04,27.2
0,0,26.56,28.26
0,0,26.29,28.98
0,0,25.04,31.33
0,0,24.99,35.6
0,0,25.39,47.12
0,1,33.78,55.77
0,1,44.94,54.89
0,1,49.04,54.23
0,2,49.64,52.11
0,2,55.95,49.57
0,2,60.01,47.31
0,2,46.04,45.9
0,2,49.74,45.86
0,2,44.89,46.23
0,2,47.93,47.11
0,2,46.98,48.99
0,2,54.94,49.83
0,3,49.22,49.64
0,3,44.6,48.8
0,3,42.44,47.31
0,3,34.06,42.95
0,3,33.97,34.13
0,3,31.39,28.5
0,0,34.58,25.35
0,0,29.67,26.32
0,0,27.49,26.99
0,0,26.13,29.19
0,0,25.98,33.18
0,0,28.45,43.94
0,1,34.78,52.03
0,1,48.0,51.18
0,1,47.79,50.62
0,2,48.14,48.64
0,2,45.5,46.25
0,2,45.03,44.15
0,2,45.5,42.84
0,2,40.81,42.84
0,2,42.04,43.21
0,2,38.94,44.04
0,2,41.15,45.82
0,2,50.0,46.62
0,3,50.99,46.44
0,3,44.0,45.65
0,3,44.99,44.24
0,3,38.62,40.15
0,3,39.54,31.85
0,3,38.92,26.57
0,0,30.44,26.5
0,0,24.91,27.52
0,0,25.49,28.22
0,0,25.43,30.51
0,0,25.47,34.67
0,0,19.07,45.88
0,1,32.33,54.31
0,1,50.66,53.44
0,1,49.01,52.83
0,2,51.64,50.77
0,2,51.1,48.29
0,2,55.96,46.09
0,2,51.68,44.72
0,2,55.28,44.7
0,2,55.12,45.07
0,2,52.67,45.92
0,2,44.94,47.77
0,2,66.1,48.58
0,3,50.45,48.4
0,3,49.47,47.57
0,3,42.98,46.12
0,3,38.0,41.86
0,3,35.65,33.25
0,3,34.75,27.76
0,0,35.95,28.3
